Terms,Frequency absolute,Frequency Relative
hoje,64,"0,0746695289986116"
quando,64,"0,0746695289986116"
salve,64,"0,0746695289986116"
[Emote Personalizado 22],63,"0,0735028176080083"
dar,63,"0,0735028176080083"
dos,63,"0,0735028176080083"
ITERO,63,"0,0735028176080083"
tenho,63,"0,0735028176080083"
kkkkkkkkkkkkkkkk,62,"0,072336106217405"
nunca,62,"0,072336106217405"
ver,62,"0,072336106217405"
fica,61,"0,0711693948268017"
SeemsGood,61,"0,0711693948268017"
todo,61,"0,0711693948268017"
confia,60,"0,0700026834361984"
jogar,60,"0,0700026834361984"
d?,59,"0,0688359720455951"
eh,59,"0,0688359720455951"
fala,59,"0,0688359720455951"
L,59,"0,0688359720455951"
They've,59,"0,0688359720455951"
sugar,58,"0,0676692606549918"
casa,57,"0,0665025492643885"
[Emote Personalizado 3],55,"0,0641691264831819"
bem,55,"0,0641691264831819"
kkkkkkkkkkkkkkkkk,55,"0,0641691264831819"
NA,55,"0,0641691264831819"
raptorraptor,55,"0,0641691264831819"
todos,55,"0,0641691264831819"
FIRE,54,"0,0630024150925785"
KappaPride,54,"0,0630024150925785"
mundo,54,"0,0630024150925785"
Prime.,54,"0,0630024150925785"
with,54,"0,0630024150925785"
x,54,"0,0630024150925785"
boca,53,"0,0618357037019752"
DA,53,"0,0618357037019752"
ELE,53,"0,0618357037019752"
gale,53,"0,0618357037019752"
nos,53,"0,0618357037019752"
peru,53,"0,0618357037019752"
tbm,53,"0,0618357037019752"
abalo,52,"0,0606689923113719"
bonanza,52,"0,0606689923113719"
vi,52,"0,0606689923113719"
voce,52,"0,0606689923113719"
ANO,51,"0,0595022809207686"
aposta,51,"0,0595022809207686"
lucro,51,"0,0595022809207686"
qual,51,"0,0595022809207686"
tava,51,"0,0595022809207686"
9,50,"0,0583355695301653"
[Emote Personalizado 25],50,"0,0583355695301653"
coinflip,50,"0,0583355695301653"
dele,50,"0,0583355695301653"
kkkkkkkkkkkkkkkkkk,50,"0,0583355695301653"
MEGA,50,"0,0583355695301653"
perder,50,"0,0583355695301653"
hj,48,"0,0560021467489587"
igual,48,"0,0560021467489587"
months!,48,"0,0560021467489587"
pega,48,"0,0560021467489587"
slot,48,"0,0560021467489587"
assim,47,"0,0548354353583554"
carro,47,"0,0548354353583554"
ir,47,"0,0548354353583554"
pau,47,"0,0548354353583554"
quer,47,"0,0548354353583554"
"skip,",47,"0,0548354353583554"
skip?,47,"0,0548354353583554"
FELIZ,46,"0,0536687239677521"
NOVO,46,"0,0536687239677521"
S?,46,"0,0536687239677521"
ao,45,"0,0525020125771488"
comprar,45,"0,0525020125771488"
demais,45,"0,0525020125771488"
foda,45,"0,0525020125771488"
ih,45,"0,0525020125771488"
kkkkkkkkkkkkkkkkkkk,45,"0,0525020125771488"
NAO,45,"0,0525020125771488"
olha,45,"0,0525020125771488"
pai,45,"0,0525020125771488"
pegar,45,"0,0525020125771488"
kkkkkkkkkkkkkkkkkkkkk,44,"0,0513353011865455"
mt,44,"0,0513353011865455"
PRECHECOFIRE,44,"0,0513353011865455"
abrir,43,"0,0501685897959422"
Ele,43,"0,0501685897959422"
k,43,"0,0501685897959422"
mds,43,"0,0501685897959422"
noite,43,"0,0501685897959422"
raptor,43,"0,0501685897959422"
1000,42,"0,0490018784053389"
acha,42,"0,0490018784053389"
gente,42,"0,0490018784053389"
kkkkkkkkkkkkkkkkkkkk,42,"0,0490018784053389"
N?o,42,"0,0490018784053389"
TEM,42,"0,0490018784053389"
agr,41,"0,0478351670147356"
amigo,41,"0,0478351670147356"
fez,41,"0,0478351670147356"
oq,41,"0,0478351670147356"
queria,41,"0,0478351670147356"
tarde,41,"0,0478351670147356"
deve,40,"0,0466684556241323"
falando,40,"0,0466684556241323"
Feliz,40,"0,0466684556241323"
gosto,40,"0,0466684556241323"
mim,40,"0,0466684556241323"
nesse,40,"0,0466684556241323"
top,40,"0,0466684556241323"
6,39,"0,045501744233529"
[Emote Personalizado 55],39,"0,045501744233529"
bora,39,"0,045501744233529"
dessa,39,"0,045501744233529"
ficar,39,"0,045501744233529"
ganha,39,"0,045501744233529"
manda,39,"0,045501744233529"
taspioClaps,39,"0,045501744233529"
thor,39,"0,045501744233529"
UM,39,"0,045501744233529"
2023,38,"0,0443350328429256"
cair,38,"0,0443350328429256"
coisa,38,"0,0443350328429256"
depois,38,"0,0443350328429256"
meio,38,"0,0443350328429256"
quase,38,"0,0443350328429256"
T?,38,"0,0443350328429256"
8,37,"0,0431683214523223"
anos,37,"0,0431683214523223"
branco,37,"0,0431683214523223"
cada,37,"0,0431683214523223"
carai,37,"0,0431683214523223"
cassino,37,"0,0431683214523223"
compra,37,"0,0431683214523223"
FAZ,37,"0,0431683214523223"
Q,37,"0,0431683214523223"
veio,37,"0,0431683214523223"
13,36,"0,042001610061719"
acho,36,"0,042001610061719"
ate,36,"0,042001610061719"
caralho,36,"0,042001610061719"
falou,36,"0,042001610061719"
hora,36,"0,042001610061719"
JOGA,36,"0,042001610061719"
merda,36,"0,042001610061719"
NotLikeThis,36,"0,042001610061719"
pix,36,"0,042001610061719"
toma,36,"0,042001610061719"
VC,36,"0,042001610061719"
WutFace,36,"0,042001610061719"
nome,35,"0,0408348986711157"
outra,35,"0,0408348986711157"
PAGA,35,"0,0408348986711157"
perdi,35,"0,0408348986711157"
sub,35,"0,0408348986711157"
tinha,35,"0,0408348986711157"
coloca,34,"0,0396681872805124"
dice,34,"0,0396681872805124"
horas,34,"0,0396681872805124"
